location,coverage,scenario,year,metric,value,low,high
kenya,70,No interventions,2020.0000,asr_cancer_incidence,28.6629,26.9860,29.8433
kenya,70,No interventions,2021.0000,asr_cancer_incidence,29.1176,28.6085,31.0566
kenya,70,No interventions,2022.0000,asr_cancer_incidence,28.3723,27.5049,29.3162
kenya,70,No interventions,2023.0000,asr_cancer_incidence,28.9353,27.6212,30.9941
kenya,70,No interventions,2024.0000,asr_cancer_incidence,28.3398,27.5815,30.2215
kenya,70,No interventions,2025.0000,asr_cancer_incidence,28.5468,27.1733,29.0088
kenya,70,No interventions,2026.0000,asr_cancer_incidence,28.8166,26.8197,30.1981
kenya,70,No interventions,2027.0000,asr_cancer_incidence,28.8866,27.9913,29.4117
kenya,70,No interventions,2028.0000,asr_cancer_incidence,28.2163,26.1128,29.8205
kenya,70,No interventions,2029.0000,asr_cancer_incidence,27.1969,25.0017,28.2520
kenya,70,No interventions,2030.0000,asr_cancer_incidence,27.8773,27.1911,30.0622
kenya,70,No interventions,2031.0000,asr_cancer_incidence,27.9086,27.4471,28.9137
kenya,70,No interventions,2032.0000,asr_cancer_incidence,27.8604,26.9830,28.8000
kenya,70,No interventions,2033.0000,asr_cancer_incidence,28.2504,27.3102,29.4918
kenya,70,No interventions,2034.0000,asr_cancer_incidence,28.2400,27.8458,29.2776
kenya,70,No interventions,2035.0000,asr_cancer_incidence,28.1241,27.4753,29.8529
kenya,70,No interventions,2036.0000,asr_cancer_incidence,27.9658,27.1779,29.8584
kenya,70,No interventions,2037.0000,asr_cancer_incidence,26.8991,26.4483,28.4846
kenya,70,No interventions,2038.0000,asr_cancer_incidence,26.8400,25.5636,29.0377
kenya,70,No interventions,2039.0000,asr_cancer_incidence,28.5889,27.5923,29.5587
kenya,70,No interventions,2040.0000,asr_cancer_incidence,27.2332,26.0594,28.6727
kenya,70,No interventions,2041.0000,asr_cancer_incidence,27.0547,26.3400,29.2428
kenya,70,No interventions,2042.0000,asr_cancer_incidence,28.0106,26.8216,29.5155
kenya,70,No interventions,2043.0000,asr_cancer_incidence,26.7007,25.9529,28.5366
kenya,70,No interventions,2044.0000,asr_cancer_incidence,27.9062,27.0033,28.9626
kenya,70,No interventions,2045.0000,asr_cancer_incidence,27.6371,26.2137,29.2582
kenya,70,No interventions,2046.0000,asr_cancer_incidence,27.2947,26.7718,28.2641
kenya,70,No interventions,2047.0000,asr_cancer_incidence,26.4859,25.5461,28.2881
kenya,70,No interventions,2048.0000,asr_cancer_incidence,27.4764,26.6712,28.5283
kenya,70,No interventions,2049.0000,asr_cancer_incidence,27.7351,27.0531,28.5593
